CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 0.078125 1594889319.5972
MEM 2.031250 1594889319.7752
MEM 6.890625 1594889320.0202
MEM 7.324219 1594889320.2382
MEM 7.359375 1594889320.3972
MEM 7.382812 1594889320.5142
MEM 7.402344 1594889320.6392
MEM 7.953125 1594889320.7462
MEM 9.359375 1594889320.8672
MEM 10.812500 1594889320.9712
MEM 12.523438 1594889321.0732
MEM 14.496094 1594889321.1792
MEM 16.640625 1594889321.2812
MEM 16.832031 1594889321.3942
MEM 18.019531 1594889321.4972
MEM 19.339844 1594889321.6082
MEM 20.703125 1594889321.7112
MEM 21.734375 1594889321.8292
MEM 22.070312 1594889321.9412
MEM 22.152344 1594889322.0812
MEM 22.738281 1594889322.2762
MEM 23.535156 1594889322.3922
MEM 24.003906 1594889322.4992
MEM 24.617188 1594889322.6162
MEM 25.812500 1594889322.7222
MEM 26.429688 1594889322.8272
MEM 29.441406 1594889322.9272
MEM 34.316406 1594889323.0302
MEM 39.152344 1594889323.1342
MEM 42.863281 1594889323.2612
MEM 43.816406 1594889323.3642
MEM 46.058594 1594889323.4702
MEM 47.132812 1594889323.5752
MEM 48.699219 1594889323.6752
MEM 49.671875 1594889323.7882
MEM 52.582031 1594889323.8942
MEM 55.054688 1594889324.3422
MEM 55.902344 1594889324.4632
MEM 56.828125 1594889324.6582
MEM 57.574219 1594889324.7962
MEM 58.109375 1594889324.9712
MEM 58.710938 1594889325.0722
MEM 59.578125 1594889325.1932
MEM 59.640625 1594889325.3052
MEM 60.000000 1594889325.4252
MEM 60.316406 1594889325.5452
MEM 60.710938 1594889325.7542
MEM 60.859375 1594889325.8882
MEM 62.085938 1594889326.1302
MEM 62.300781 1594889326.3832
MEM 62.996094 1594889326.5092
MEM 63.316406 1594889326.6752
MEM 63.652344 1594889326.8072
MEM 64.464844 1594889326.9312
MEM 66.011719 1594889327.0312
MEM 67.066406 1594889327.1382
MEM 68.460938 1594889327.2662
MEM 69.792969 1594889327.3672
MEM 71.101562 1594889327.4692
MEM 71.843750 1594889327.5702
MEM 72.859375 1594889327.6722
MEM 73.718750 1594889327.7782
MEM 75.871094 1594889327.8832
MEM 77.933594 1594889328.0092
MEM 79.691406 1594889328.1822
MEM 80.105469 1594889328.3202
MEM 80.539062 1594889328.4382
MEM 81.191406 1594889328.5602
MEM 81.515625 1594889328.7052
MEM 82.191406 1594889328.8422
MEM 82.980469 1594889328.9492
MEM 83.683594 1594889329.0532
MEM 85.203125 1594889329.1762
MEM 89.566406 1594889329.2762
MEM 92.187500 1594889329.3802
MEM 92.273438 1594889329.5052
MEM 92.269531 1594889329.6082
MEM 92.273438 1594889329.7272
MEM 94.117188 1594889329.8502
MEM 91.031250 1594889329.9712
MEM 93.210938 1594889330.1252
MEM 92.085938 1594889330.2972
MEM 92.085938 1594889330.4152
MEM 92.085938 1594889330.5642
MEM 92.085938 1594889330.7052
MEM 92.351562 1594889330.8302
MEM 95.996094 1594889330.9462
MEM 92.355469 1594889331.0772
MEM 92.355469 1594889331.2072
MEM 93.214844 1594889331.3152
MEM 92.355469 1594889331.4212
MEM 91.382812 1594889331.5232
MEM 92.234375 1594889331.6332
MEM 92.238281 1594889331.7432
MEM 98.308594 1594889331.8722
MEM 94.980469 1594889331.9722
MEM 92.242188 1594889332.0812
MEM 92.242188 1594889332.2192
MEM 92.242188 1594889332.3522
MEM 92.242188 1594889332.5062
MEM 92.242188 1594889332.6532
MEM 92.242188 1594889332.8092
MEM 98.617188 1594889332.9222
MEM 92.351562 1594889333.0422
MEM 92.347656 1594889333.1512
MEM 92.347656 1594889333.2662
MEM 92.355469 1594889333.3692
MEM 92.351562 1594889333.4912
MEM 92.355469 1594889333.6042
MEM 94.785156 1594889333.7042
MEM 95.105469 1594889333.8202
