CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 0.074219 1594889793.7075
MEM 4.156250 1594889793.8125
MEM 7.804688 1594889793.9155
MEM 9.300781 1594889794.0165
MEM 10.191406 1594889794.1185
MEM 11.949219 1594889794.2225
MEM 13.160156 1594889794.3235
MEM 15.800781 1594889794.4245
MEM 16.699219 1594889794.5255
MEM 18.718750 1594889794.6265
MEM 20.402344 1594889794.7275
MEM 21.296875 1594889794.8625
MEM 21.761719 1594889794.9655
MEM 22.484375 1594889795.0685
MEM 23.796875 1594889795.2225
MEM 24.636719 1594889795.3235
MEM 25.558594 1594889795.4335
MEM 26.371094 1594889795.5385
MEM 28.042969 1594889795.6825
MEM 29.386719 1594889795.7895
MEM 29.671875 1594889795.8965
MEM 32.152344 1594889795.9985
MEM 35.941406 1594889796.1035
MEM 38.585938 1594889796.2055
MEM 42.066406 1594889796.3065
MEM 43.679688 1594889796.4115
MEM 45.804688 1594889796.5125
MEM 47.058594 1594889796.6155
MEM 48.855469 1594889796.7375
MEM 50.570312 1594889796.8565
MEM 51.824219 1594889796.9765
MEM 53.601562 1594889797.1245
MEM 54.902344 1594889797.2355
MEM 56.296875 1594889797.3355
MEM 57.714844 1594889797.4455
MEM 58.425781 1594889797.5555
MEM 58.632812 1594889797.6585
MEM 59.546875 1594889797.7605
MEM 59.933594 1594889797.8615
MEM 60.890625 1594889797.9625
MEM 62.203125 1594889798.0635
MEM 62.875000 1594889798.1665
MEM 63.367188 1594889798.2675
MEM 63.757812 1594889798.3675
MEM 64.800781 1594889798.4675
MEM 67.175781 1594889798.5705
MEM 68.332031 1594889798.6745
MEM 69.503906 1594889798.7765
MEM 70.175781 1594889798.8835
MEM 71.207031 1594889799.0045
MEM 72.109375 1594889799.1285
MEM 73.289062 1594889799.2635
MEM 74.933594 1594889799.3825
MEM 76.785156 1594889799.4935
MEM 77.308594 1594889799.6075
MEM 78.394531 1594889799.7125
MEM 80.265625 1594889799.8235
MEM 80.878906 1594889799.9255
MEM 81.199219 1594889800.0275
MEM 82.031250 1594889800.1625
MEM 82.046875 1594889800.2905
MEM 82.398438 1594889800.4105
MEM 82.640625 1594889800.5375
MEM 83.464844 1594889800.6675
MEM 83.464844 1594889800.7745
MEM 84.417969 1594889800.8935
MEM 90.101562 1594889800.9975
MEM 88.121094 1594889801.2095
MEM 89.359375 1594889801.3395
MEM 89.781250 1594889801.4475
MEM 91.132812 1594889801.5485
MEM 92.363281 1594889801.6485
MEM 95.617188 1594889801.7495
MEM 96.742188 1594889801.8495
MEM 96.445312 1594889801.9505
MEM 95.734375 1594889802.0535
MEM 94.320312 1594889802.1605
MEM 92.949219 1594889802.2605
MEM 92.445312 1594889802.3615
MEM 98.207031 1594889802.4635
MEM 95.402344 1594889802.5715
MEM 92.453125 1594889802.6765
MEM 92.457031 1594889802.8065
MEM 92.453125 1594889802.9425
MEM 92.453125 1594889803.0695
MEM 92.457031 1594889803.1875
MEM 92.925781 1594889803.2975
MEM 92.964844 1594889803.3985
MEM 95.718750 1594889803.4995
MEM 97.039062 1594889803.6005
MEM 96.546875 1594889803.7015
MEM 92.527344 1594889803.8075
MEM 93.039062 1594889803.9085
MEM 93.035156 1594889804.0095
MEM 99.582031 1594889804.1105
MEM 95.285156 1594889804.2115
MEM 93.136719 1594889804.3125
MEM 96.187500 1594889804.4145
MEM 92.531250 1594889804.5165
MEM 93.378906 1594889804.6175
MEM 95.328125 1594889804.7185
MEM 97.167969 1594889804.8185
MEM 92.527344 1594889804.9205
MEM 92.527344 1594889805.0215
MEM 93.039062 1594889805.1445
MEM 93.035156 1594889805.2445
MEM 97.855469 1594889805.3465
MEM 93.035156 1594889805.4475
MEM 93.152344 1594889805.5475
MEM 94.078125 1594889805.6475
MEM 95.777344 1594889805.7495
MEM 92.527344 1594889805.8495
MEM 96.449219 1594889805.9495
MEM 96.718750 1594889806.0495
MEM 93.035156 1594889806.1825
MEM 93.035156 1594889806.2835
MEM 93.035156 1594889806.3855
MEM 93.035156 1594889806.4865
MEM 93.039062 1594889806.5875
MEM 93.097656 1594889806.7085
MEM 93.101562 1594889806.8085
MEM 96.347656 1594889806.9115
MEM 95.765625 1594889807.0125
MEM 93.101562 1594889807.1135
MEM 93.097656 1594889807.2145
MEM 95.839844 1594889807.3155
MEM 97.277344 1594889807.4165
MEM 95.246094 1594889807.5175
MEM 95.429688 1594889807.6185
MEM 92.589844 1594889807.7195
MEM 93.101562 1594889807.8195
MEM 93.097656 1594889807.9195
MEM 93.121094 1594889808.0205
MEM 93.097656 1594889808.1265
MEM 93.097656 1594889808.2275
MEM 93.097656 1594889808.3595
MEM 93.101562 1594889808.4785
MEM 93.097656 1594889808.5825
MEM 95.832031 1594889808.6865
MEM 92.589844 1594889808.7875
MEM 92.589844 1594889808.8885
MEM 92.589844 1594889808.9895
MEM 97.703125 1594889809.0895
MEM 94.539062 1594889809.1905
MEM 93.101562 1594889809.2905
MEM 93.097656 1594889809.3915
MEM 93.101562 1594889809.4925
MEM 93.097656 1594889809.5925
MEM 92.589844 1594889809.6935
MEM 92.589844 1594889809.7945
MEM 94.710938 1594889809.8965
MEM 92.589844 1594889809.9995
MEM 98.886719 1594889810.1245
MEM 92.593750 1594889810.2505
MEM 92.589844 1594889810.3585
MEM 95.839844 1594889810.4635
MEM 93.101562 1594889810.5825
MEM 93.097656 1594889810.6835
MEM 94.085938 1594889810.7835
MEM 93.101562 1594889810.8835
MEM 93.097656 1594889810.9845
MEM 95.828125 1594889811.0885
MEM 96.585938 1594889811.1885
MEM 92.589844 1594889811.2895
MEM 92.589844 1594889811.3905
MEM 92.589844 1594889811.4915
MEM 97.792969 1594889811.5915
MEM 93.097656 1594889811.6965
MEM 93.097656 1594889811.7975
MEM 93.101562 1594889811.9325
MEM 93.097656 1594889812.0415
MEM 93.097656 1594889812.1745
MEM 96.980469 1594889812.2835
MEM 92.589844 1594889812.3855
MEM 96.234375 1594889812.4865
MEM 92.589844 1594889812.5885
MEM 92.589844 1594889812.6895
MEM 96.539062 1594889812.7905
