CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 92.312500 1594891194.1826
MEM 92.312500 1594891194.3196
MEM 95.375000 1594891194.4246
MEM 92.800781 1594891194.5276
MEM 92.269531 1594891194.6286
MEM 93.804688 1594891194.7286
MEM 97.644531 1594891194.8286
MEM 95.550781 1594891194.9296
MEM 94.925781 1594891195.0316
MEM 94.925781 1594891195.1336
MEM 96.003906 1594891195.2346
MEM 93.441406 1594891195.3346
MEM 92.804688 1594891195.4366
MEM 92.800781 1594891195.5376
MEM 96.195312 1594891195.6386
MEM 94.863281 1594891195.7386
MEM 96.835938 1594891195.8416
MEM 96.050781 1594891195.9426
MEM 92.800781 1594891196.0426
MEM 92.804688 1594891196.1616
MEM 92.800781 1594891196.2706
MEM 99.355469 1594891196.3716
MEM 96.468750 1594891196.4716
MEM 95.925781 1594891196.5726
MEM 92.292969 1594891196.6726
MEM 93.027344 1594891196.7736
MEM 93.039062 1594891196.8746
MEM 96.183594 1594891196.9756
MEM 93.054688 1594891197.0776
MEM 93.058594 1594891197.2126
MEM 94.203125 1594891197.3216
MEM 93.507812 1594891197.4226
MEM 93.718750 1594891197.5236
MEM 92.546875 1594891197.6386
MEM 92.550781 1594891197.7506
MEM 93.890625 1594891197.8586
MEM 93.054688 1594891197.9586
MEM 93.050781 1594891198.0586
MEM 93.054688 1594891198.1686
MEM 96.015625 1594891198.2696
MEM 94.851562 1594891198.3696
MEM 93.050781 1594891198.4696
MEM 93.507812 1594891198.5696
MEM 92.546875 1594891198.6696
MEM 95.722656 1594891198.7705
MEM 95.296875 1594891198.8706
MEM 96.175781 1594891198.9716
MEM 95.742188 1594891199.0716
MEM 93.050781 1594891199.1756
MEM 93.050781 1594891199.2856
MEM 93.050781 1594891199.3886
MEM 93.054688 1594891199.4896
MEM 95.554688 1594891199.5905
MEM 93.054688 1594891199.6906
MEM 96.363281 1594891199.7906
MEM 94.601562 1594891199.8916
MEM 93.964844 1594891199.9916
MEM 94.882812 1594891200.0996
MEM 92.613281 1594891200.2185
MEM 94.328125 1594891200.3206
MEM 93.117188 1594891200.4276
MEM 93.113281 1594891200.5286
MEM 93.117188 1594891200.6306
MEM 93.113281 1594891200.7636
MEM 93.113281 1594891200.8646
MEM 95.351562 1594891200.9656
MEM 93.113281 1594891201.0896
MEM 92.613281 1594891201.3016
MEM 92.609375 1594891201.4256
MEM 92.609375 1594891201.5266
MEM 93.746094 1594891201.6276
MEM 93.863281 1594891201.7286
MEM 93.113281 1594891201.8286
MEM 98.867188 1594891201.9296
MEM 96.355469 1594891202.0296
MEM 98.085938 1594891202.1306
MEM 93.113281 1594891202.2386
MEM 93.570312 1594891202.3386
MEM 92.609375 1594891202.4396
MEM 93.671875 1594891202.5416
MEM 93.000000 1594891202.6426
MEM 92.613281 1594891202.7426
MEM 93.105469 1594891202.8456
MEM 95.398438 1594891202.9456
MEM 94.636719 1594891203.0466
MEM 96.812500 1594891203.1516
MEM 93.113281 1594891203.2916
MEM 96.945312 1594891203.3926
MEM 93.113281 1594891203.4926
MEM 98.820312 1594891203.5936
MEM 95.859375 1594891203.6936
MEM 94.492188 1594891203.7946
MEM 94.453125 1594891203.8955
MEM 92.613281 1594891203.9956
MEM 94.210938 1594891204.0966
MEM 93.113281 1594891204.2386
MEM 96.601562 1594891204.3416
MEM 93.503906 1594891204.4426
MEM 96.363281 1594891204.5426
MEM 93.113281 1594891204.6736
MEM 92.628906 1594891204.7956
MEM 92.644531 1594891204.9066
MEM 92.644531 1594891205.0106
MEM 93.148438 1594891205.1116
MEM 93.148438 1594891205.2396
MEM 93.148438 1594891205.3436
MEM 93.152344 1594891205.4446
MEM 94.695312 1594891205.5466
MEM 92.644531 1594891205.6466
MEM 92.648438 1594891205.7476
MEM 92.644531 1594891205.8476
MEM 92.648438 1594891205.9486
MEM 95.894531 1594891206.0496
MEM 93.152344 1594891206.1606
MEM 93.148438 1594891206.2786
MEM 95.496094 1594891206.3806
MEM 96.550781 1594891206.4876
MEM 93.148438 1594891206.5886
MEM 100.292969 1594891206.6896
MEM 94.671875 1594891206.7896
MEM 92.648438 1594891206.8896
MEM 92.644531 1594891206.9916
MEM 95.546875 1594891207.0926
MEM 94.765625 1594891207.1926
MEM 98.402344 1594891207.2936
MEM 93.148438 1594891207.3946
MEM 94.144531 1594891207.4966
MEM 93.148438 1594891207.5966
MEM 93.152344 1594891207.6966
MEM 93.148438 1594891207.7986
MEM 93.148438 1594891207.9056
MEM 92.648438 1594891208.0336
MEM 92.644531 1594891208.1506
MEM 92.644531 1594891208.2676
MEM 92.644531 1594891208.3886
MEM 96.234375 1594891208.5076
MEM 93.125000 1594891208.6086
MEM 93.152344 1594891208.7086
MEM 93.148438 1594891208.8096
MEM 96.398438 1594891208.9096
MEM 93.773438 1594891209.0106
MEM 96.851562 1594891209.1116
MEM 98.476562 1594891209.2166
MEM 95.976562 1594891209.3176
MEM 94.878906 1594891209.4186
MEM 92.644531 1594891209.5396
MEM 92.644531 1594891209.6406
MEM 92.648438 1594891209.7426
MEM 92.644531 1594891209.8426
MEM 97.253906 1594891209.9436
MEM 93.148438 1594891210.0636
MEM 95.277344 1594891210.1636
MEM 93.152344 1594891210.2716
MEM 93.148438 1594891210.3716
MEM 94.472656 1594891210.4716
MEM 92.644531 1594891210.5746
MEM 95.894531 1594891210.6746
MEM 92.644531 1594891210.7756
MEM 92.648438 1594891210.8996
MEM 94.105469 1594891211.0016
MEM 93.152344 1594891211.1026
MEM 93.148438 1594891211.2186
MEM 93.148438 1594891211.3316
MEM 93.152344 1594891211.4406
MEM 93.148438 1594891211.5526
MEM 95.273438 1594891211.6546
MEM 92.644531 1594891211.7546
MEM 92.644531 1594891211.8626
MEM 96.125000 1594891211.9656
MEM 93.148438 1594891212.0686
MEM 93.152344 1594891212.1696
MEM 93.148438 1594891212.2736
MEM 93.144531 1594891212.3736
MEM 95.894531 1594891212.4756
MEM 92.644531 1594891212.5756
MEM 92.648438 1594891212.6806
MEM 94.644531 1594891212.7846
MEM 92.648438 1594891212.8866
MEM 96.011719 1594891212.9886
MEM 92.648438 1594891213.0986
MEM 93.156250 1594891213.2176
MEM 93.156250 1594891213.3206
MEM 93.152344 1594891213.4546
MEM 93.152344 1594891213.5956
MEM 93.152344 1594891213.7466
MEM 93.152344 1594891213.8466
MEM 97.796875 1594891213.9476
MEM 94.546875 1594891214.0496
MEM 94.855469 1594891214.1496
MEM 93.152344 1594891214.2505
MEM 95.328125 1594891214.3506
MEM 96.402344 1594891214.4526
MEM 93.152344 1594891214.5536
MEM 92.652344 1594891214.6545
MEM 95.898438 1594891214.7545
MEM 92.648438 1594891214.8546
MEM 92.652344 1594891214.9546
MEM 92.648438 1594891215.0556
MEM 96.601562 1594891215.1566
MEM 93.156250 1594891215.2566
MEM 93.152344 1594891215.3566
MEM 93.152344 1594891215.4586
MEM 98.386719 1594891215.5596
MEM 93.156250 1594891215.6626
MEM 94.574219 1594891215.7636
MEM 93.152344 1594891215.8636
MEM 93.156250 1594891215.9636
MEM 95.277344 1594891216.0646
MEM 93.609375 1594891216.1646
MEM 92.648438 1594891216.2646
MEM 92.648438 1594891216.3656
MEM 92.648438 1594891216.4666
MEM 97.625000 1594891216.5666
MEM 94.355469 1594891216.6676
MEM 92.648438 1594891216.7686
MEM 92.652344 1594891216.8686
MEM 92.648438 1594891216.9686
MEM 95.234375 1594891217.0696
MEM 97.187500 1594891217.1696
MEM 93.152344 1594891217.2706
MEM 93.152344 1594891217.3716
MEM 93.152344 1594891217.4806
MEM 98.847656 1594891217.5826
MEM 93.156250 1594891217.6826
MEM 93.152344 1594891217.7836
MEM 98.328125 1594891217.8856
MEM 93.554688 1594891217.9876
MEM 95.777344 1594891218.0886
MEM 95.937500 1594891218.1890
MEM 92.035156 1594891218.2900
MEM 95.519531 1594891218.3910
MEM 92.550781 1594891218.4930
MEM 95.691406 1594891218.5950
MEM 92.566406 1594891218.6950
MEM 95.167969 1594891218.7960
MEM 93.042969 1594891218.8960
MEM 98.371094 1594891218.9980
MEM 92.542969 1594891219.0980
MEM 92.542969 1594891219.2000
MEM 98.054688 1594891219.3070
MEM 93.050781 1594891219.4140
MEM 93.519531 1594891219.5150
MEM 96.222656 1594891219.6170
MEM 93.050781 1594891219.7170
MEM 98.066406 1594891219.8180
MEM 93.953125 1594891219.9180
MEM 92.898438 1594891220.0190
MEM 94.093750 1594891220.1210
MEM 94.609375 1594891220.2290
MEM 92.929688 1594891220.3390
MEM 93.449219 1594891220.4450
MEM 92.945312 1594891220.5460
MEM 93.105469 1594891220.6470
MEM 92.953125 1594891220.7490
MEM 92.902344 1594891220.8530
MEM 96.363281 1594891220.9590
MEM 94.500000 1594891221.0610
MEM 93.437500 1594891221.1650
MEM 93.437500 1594891221.2650
MEM 93.441406 1594891221.3650
MEM 92.890625 1594891221.4670
MEM 92.957031 1594891221.5790
MEM 96.183594 1594891221.6830
MEM 94.875000 1594891221.7850
MEM 92.937500 1594891221.8870
MEM 95.683594 1594891221.9870
MEM 92.851562 1594891222.0880
MEM 93.445312 1594891222.1930
MEM 96.167969 1594891222.2940
MEM 92.929688 1594891222.4060
MEM 92.945312 1594891222.5160
MEM 92.945312 1594891222.6200
MEM 92.949219 1594891222.7210
MEM 92.953125 1594891222.8220
MEM 93.027344 1594891222.9240
MEM 93.437500 1594891223.0250
MEM 92.429688 1594891223.1250
MEM 92.945312 1594891223.2270
MEM 96.925781 1594891223.3280
MEM 96.113281 1594891223.4340
MEM 92.953125 1594891223.5350
MEM 92.902344 1594891223.6360
MEM 96.761719 1594891223.7400
MEM 93.437500 1594891223.8430
MEM 92.429688 1594891223.9660
MEM 93.488281 1594891224.0680
MEM 96.160156 1594891224.1690
MEM 92.656250 1594891224.2810
MEM 94.890625 1594891224.3910
MEM 98.316406 1594891224.4920
MEM 94.265625 1594891224.5940
MEM 94.824219 1594891224.6940
MEM 93.191406 1594891224.7940
MEM 93.929688 1594891224.8950
MEM 95.914062 1594891224.9950
MEM 94.960938 1594891225.0950
MEM 94.414062 1594891225.1950
MEM 92.667969 1594891225.2950
MEM 92.664062 1594891225.3960
MEM 95.613281 1594891225.4980
MEM 94.679688 1594891225.6000
MEM 93.171875 1594891225.7000
MEM 93.167969 1594891225.8010
MEM 92.664062 1594891225.9010
MEM 98.691406 1594891226.0020
MEM 93.167969 1594891226.1030
MEM 93.167969 1594891226.2180
MEM 97.410156 1594891226.3390
MEM 96.671875 1594891226.4470
MEM 93.167969 1594891226.5670
MEM 92.664062 1594891226.6680
MEM 98.750000 1594891226.7680
MEM 96.433594 1594891226.8680
MEM 96.011719 1594891226.9690
MEM 95.531250 1594891227.0700
MEM 93.171875 1594891227.1700
MEM 95.496094 1594891227.2710
MEM 93.167969 1594891227.3710
MEM 96.738281 1594891227.4710
MEM 93.167969 1594891227.5710
MEM 95.746094 1594891227.6720
MEM 92.664062 1594891227.7910
MEM 92.667969 1594891227.8930
MEM 95.914062 1594891227.9940
MEM 98.136719 1594891228.0950
MEM 95.605469 1594891228.1960
MEM 97.519531 1594891228.2970
MEM 93.167969 1594891228.3980
MEM 96.562500 1594891228.4990
MEM 94.625000 1594891228.6000
MEM 93.257812 1594891228.7010
MEM 93.167969 1594891228.8010
MEM 93.375000 1594891228.9020
MEM 95.914062 1594891229.0030
MEM 99.230469 1594891229.1040
MEM 92.664062 1594891229.2230
MEM 93.171875 1594891229.3240
MEM 93.167969 1594891229.4330
MEM 97.597656 1594891229.5340
MEM 93.167969 1594891229.6390
MEM 93.167969 1594891229.7400
MEM 96.183594 1594891229.8410
MEM 95.292969 1594891229.9420
MEM 92.664062 1594891230.0430
MEM 92.664062 1594891230.1430
MEM 92.664062 1594891230.2430
MEM 92.667969 1594891230.3440
MEM 95.914062 1594891230.4440
MEM 94.550781 1594891230.5440
MEM 95.078125 1594891230.6450
MEM 93.171875 1594891230.7450
MEM 93.167969 1594891230.8460
MEM 92.664062 1594891230.9470
MEM 97.300781 1594891231.0470
MEM 95.914062 1594891231.1480
MEM 92.664062 1594891231.2860
MEM 96.097656 1594891231.3890
MEM 92.664062 1594891231.4890
MEM 96.839844 1594891231.5900
MEM 94.851562 1594891231.6900
MEM 95.195312 1594891231.7910
MEM 93.167969 1594891231.8910
MEM 93.171875 1594891231.9920
MEM 93.167969 1594891232.0940
MEM 95.914062 1594891232.1950
MEM 95.414062 1594891232.2950
MEM 95.101562 1594891232.3970
MEM 92.664062 1594891232.4980
